Title,Book_category,Star_rating,Price,Stock,Quantity
The Midnight Watch: A Novel of the Titanic and the Californian,Add a comment,One,26.2,In stock,12
The Lonely City: Adventures in the Art of Being Alone,Nonfiction,Two,33.26,In stock,12
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Add a comment,Four,59.15,In stock,12
The Golden Condom: And Other Essays on Love Lost and Found,Psychology,One,39.43,In stock,12
The Epidemic (The Program 0.6),Young Adult,Five,14.44,In stock,12
The Dinner Party,Fiction,Two,56.54,In stock,12
The Diary of a Young Girl,Nonfiction,Three,59.9,In stock,12
The Children,Add a comment,Three,11.88,In stock,12
Stars Above (The Lunar Chronicles #4.5),Young Adult,Two,48.05,In stock,12
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,Three,21.21,In stock,12
Raspberry Pi Electronics Projects for the Evil Genius,Default,Four,49.67,In stock,12
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Business,One,43.14,In stock,12
Psycho: Sanitarium (Psycho #1.5),Horror,Five,36.97,In stock,12
Poisonous (Max Revere Novels #3),Mystery,Three,26.8,In stock,12
One with You (Crossfire #5),Add a comment,Four,15.71,In stock,12
No Love Allowed (Dodge Cove #1),Young Adult,Four,54.65,In stock,12
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,Four,54.36,In stock,12
Most Wanted,Mystery,Three,35.28,In stock,12
"Love, Lies and Spies",Historical Fiction,Two,20.55,In stock,12
How to Speak Golf: An Illustrated Guide to Links Lingo,Default,Five,58.32,In stock,12
Hide Away (Eve Duncan #20),Mystery,One,11.84,In stock,12
Furiously Happy: A Funny Book About Horrible Things,Nonfiction,Four,41.46,In stock,12
Everyday Italian: 125 Simple and Delicious Recipes,Food and Drink,Five,20.1,In stock,12
Equal Is Unfair: America's Misguided Fight Against Income Inequality,Politics,One,56.86,In stock,12
Eleanor & Park,Default,Five,56.51,In stock,12
Dirty (Dive Bar #1),Romance,Four,40.83,In stock,12
Can You Keep a Secret? (Fear Street Relaunch #4),Horror,One,48.64,In stock,12
Boar Island (Anna Pigeon #19),Mystery,Three,59.48,In stock,12
A Paris Apartment,Historical Fiction,Four,39.01,In stock,12
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,One,38.77,In stock,12
Troublemaker: Surviving Hollywood and Scientology,Default,Two,48.39,In stock,11
The Widow,Mystery,Two,27.26,In stock,11
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,Four,11.68,In stock,11
The Improbability of Love,Fiction,One,59.45,In stock,12
The Art of Startup Fundraising,Business,Three,21.0,In stock,11
Take Me Home Tonight (Rock Star Romance #3),Romance,Three,53.98,In stock,11
Sleeping Giants (Themis Files #1),Science Fiction,One,48.74,In stock,11
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Biography,Two,21.15,In stock,11
Playing with Fire,Mystery,Three,13.71,In stock,11
livro de teste,Poetry,Two,33.33,In Stock,42
produto teste,Poetry,Two,35.5,In Stock,42
teste,Poetry,Two,29.9,In Stock,35
